title,pmid,doi,abstract,year,authors
The copia retrotransposon and horizontal transfer in Drosophila willistoni,21450134,10.1017/S0016672310000625,"The copia element is a retrotransposon that is hypothesized to have been horizontally transferred from Drosophila melanogaster to some populations of Drosophila willistoni in Florida. Here we have used PCR and Southern blots to screen for sequences similar to copia element in South American populations of D. willistoni, as well as in strains previously shown to be carriers of the element. We have not found the canonical copia element in any of these populations. Unlike the P element, which invaded the D. melanogaster genome from D. willistoni and quickly spread worldwide, the canonical copia element appears to have transferred in the opposite direction and has not spread. This may be explained by differences in the requirements for transposition and in the host control of transposition.",2011,"V L S Valente, E L S Loreto, C M A Carareto, P M Rubin"
"Drosophila nucleoporin Nup154 controls cell viability, proliferation and nuclear accumulation of Mad transcription factor",21696798,10.1016/j.tice.2011.05.001,"Nuclear Pore Complexes (NPCs) are involved in the regulation of nucleo-cytoplasmic trafficking. Drosophila Nup154 encodes a nucleoporin component of the NPC that is expressed in high proliferating tissues such as germ cells. Hypomorphic mutations in this gene cause male and female sterility and reduction of cell proliferation in the adult fly. Here, we present evidences of a decrease in the number of spermatogonial cells in Nup154 mutants, caused both by increased cell death and reduced cell proliferation. Furthermore, we also found that RNAi-mediated depletion of Nup154 in cultured cells prevented nuclear accumulation of the transcription factor Mothers against Dpp (Mad), suggesting a possible regulatory role for Nup154 in TGF-β signal transduction. These results were confirmed in vivo on mutant testes where we observed a similar defect in the nuclear accumulation of the co-Smad Medea.",2011,"Emilie Quénerch'du, Pier Paolo D'Avino, Giuliano Callaini, Maria Giovanna Riparbelli, Gabriele Colozza, Emilie Montembault"
"Clustering of Alpers disease mutations and catalytic defects in biochemical variants reveal new features of molecular mechanism of the human mitochondrial replicase, Pol γ",21824913,10.1093/nar/gkr618,"Mutations in Pol γ represent a major cause of human mitochondrial diseases, especially those affecting the nervous system in adults and in children. Recessive mutations in Pol γ represent nearly half of those reported to date, and they are nearly uniformly distributed along the length of the POLG1 gene (Human DNA Polymerase gamma Mutation Database); the majority of them are linked to the most severe form of POLG syndrome, Alpers-Huttenlocher syndrome. In this report, we assess the structure-function relationships for recessive disease mutations by reviewing existing biochemical data on site-directed mutagenesis of the human, Drosophila and yeast Pol γs, and their homologs from the family A DNA polymerase group. We do so in the context of a molecular model of Pol γ in complex with primer-template DNA, which we have developed based upon the recently solved crystal structure of the apoenzyme form. We present evidence that recessive mutations cluster within five distinct functional modules in the catalytic core of Pol γ. Our results suggest that cluster prediction can be used as a diagnosis-supporting tool to evaluate the pathogenic role of new Pol γ variants.",2011,"Gregory A Farnum, Liliya Euro, Eino Palin, Laurie S Kaguni, Anu Suomalainen"
"Specification and behavior of AMPs, muscle-committed transient Drosophila stem cells",20953150,10.4161/fly.5.1.13710,"During development, transient stem cells play critical roles in the formation of specific tissues. Adult Muscle Precursors (AMPs) are at the origin of all adult Drosophila muscles and as we report here represent a novel population of muscle-committed transient stem cells. Similar to vertebrate muscle stem cells, AMPs keep Notch signaling active and express Enhancer of split m6 (E(spl)m6) gene, a read-out of Notch pathway. To get insights into AMP cell specification we performed a gain-of-function screen and found that the rhomboid-triggered Epidermal Growth Factor (EGF) signaling pathway controls both the specification and the subsequent maintenance of AMPs. Our findings are supported by the identification of EGF-secreting cells in the lateral domain and the EGF-dependent regulatory modules that drive expression of the ladybird gene in lateral AMPs. Interestingly, by targeting GFP to the AMP cell membranes we also demonstrated that AMPs send long cellular processes and form a network of interconnected cells. As revealed by laser ablation experiments, the main role of AMP cell connections is to maintain their correct spatial positioning.",2011,"Nicolas Figeac, Teresa Jagla, Krzysztof Jagla, Rajaguru Aradhya, Jean Philippe Da Ponte"
Why flies? Inexpensive public engagement exercises to explain the value of basic biomedical research on Drosophila melanogaster,22139775,10.1152/advan.00045.2011,"Invertebrate model organisms are powerful systems for uncovering conserved principles of animal biology. Despite widespread use in scientific communities, invertebrate research is often severely undervalued by laypeople. Here, we present a set of simple, inexpensive public outreach exercises aimed at explaining to the public why basic research on one particular invertebrate, the insect Drosophila melanogaster, is valuable. First, we designed seven teaching modules that highlight cutting-edge research in Drosophila genetics, metabolism, physiology, and behavior. We then implemented these exercises in a public outreach event that included both children and adults. Quantitative evaluation of participant feedback suggests that these exercises 1) teach principles of animal biology, 2) help laypeople better understand why researchers study fruit flies, and 3) are effective over a wide range of age groups. Overall, this work provides a blueprint for how to use Drosophila as a vehicle for increasing public awareness and appreciation of basic research on genetically tractable insects in particular and invertebrates in general.",2011,"Paola Cognigni, Wendy X W Gu, Barry Denholm, Caroline Fabre, Stefan R Pulver, Maarten Zwart, Vasja Urbancic, Irene Miguel-Aliaga, Lucia Prieto-Godino, Gerit Linneweber"
Transcriptional networks for alcohol sensitivity in Drosophila melanogaster,21270389,10.1534/genetics.110.125229,"Understanding the genetic architecture of polygenic traits requires investigating how complex networks of interacting molecules mediate the effect of genetic variation on organismal phenotypes. We used a combination of P-element mutagenesis and analysis of natural variation in gene expression to predict transcriptional networks that underlie alcohol sensitivity in Drosophila melanogaster. We identified 139 unique P-element mutations (124 in genes) that affect sensitivity or resistance to alcohol exposure. Further analyses of nine of the lines showed that the P-elements affected expression levels of the tagged genes, and P-element excision resulted in phenotypic reversion. The majority of the mutations were in computationally predicted genes or genes with unexpected effects on alcohol phenotypes. Therefore we sought to understand the biological relationships among 21 of these genes by leveraging genetic correlations among genetically variable transcripts in wild-derived inbred lines to predict coregulated transcriptional networks. A total of 32 ""hub"" genes were common to two or more networks associated with the focal genes. We used RNAi-mediated inhibition of expression of focal genes and of hub genes connected to them in the network to confirm their effects on alcohol-related phenotypes. We then expanded the computational networks using the hub genes as foci and again validated network predictions. Iteration of this approach allows a stepwise expansion of the network with simultaneous functional validation. Although coregulated transcriptional networks do not provide information about causal relationships among their constituent transcripts, they provide a framework for subsequent functional studies on the genetic basis of alcohol sensitivity.",2011,"Robert R H Anholt, Trudy F C Mackay, Tatiana V Morozova"
Histaminergic signaling in the central nervous system of Daphnia and a role for it in the control of phototactic behavior,21525325,10.1242/jeb.054486,"Daphnia magna and Daphnia pulex are well-established model organisms in the fields of ecotoxicology and toxicogenomics. Among the many assays used for determining the effects of environmental and anthropogenic stressors on these animals is monitoring for changes in their phototactic behavior. In most arthropods, histamine has been shown to play a key role in the visual system. Currently, nothing is known about histaminergic signaling in either D. magna or D. pulex. Here, a combination of immunohistochemistry and genome mining was used to identify and characterize the histaminergic systems in these daphnids. In addition, a behavioral assay was used to assess the role of histamine in their phototactic response to ultraviolet (UV) light exposure. An extensive network of histaminergic somata, axons and neuropil was identified via immunohistochemistry within the central nervous system of both daphnids, including labeling of putative photoreceptors in the compound eye and projections from these cells to the brain. Mining of the D. pulex genome using known Drosophila melanogaster proteins identified a putative ortholog of histidine decarboxylase (the rate-limiting biosynthetic enzyme for histamine), as well as two putative histamine-gated chloride channels (hclA and hclB orthologs). Exposure of D. magna to cimetidine, an H2 receptor antagonist known to block both hclA and hclB in D. melanogaster, inhibited their negative phototactic response to UV exposure in a reversible, time-dependent manner. Taken collectively, our results show that an extensive histaminergic system is present in Daphnia species, including the visual system, and that this amine is involved in the control of phototaxis in these animals.",2011,"Andrew E Christie, Matthew D McCoole, Kevin N Baer"
Crustacean hematopoiesis and the astakine cytokines,21444913,10.1182/blood-2010-11-320614,"Major contributions to research in hematopoiesis in invertebrate animals have come from studies in the fruit fly, Drosophila melanogaster, and the freshwater crayfish, Pacifastacus leniusculus. These animals lack oxygen-carrying erythrocytes and blood cells of the lymphoid lineage, which participate in adaptive immune defense, thus making them suitable model animals to study the regulation of blood cells of the innate immune system. This review presents an overview of crustacean blood cell formation, the role of these cells in innate immunity, and how their synthesis is regulated by the astakine cytokines. Astakines are among the first invertebrate cytokines shown to be involved in hematopoiesis, and they can stimulate the proliferation, differentiation, and survival of hematopoietic tissue cells. The astakines and their vertebrate homologues, prokineticins, share similar functions in hematopoiesis; thus, studies of astakine-induced hematopoiesis in crustaceans may not only advance our understanding of the regulation of invertebrate hematopoiesis but may also provide new evolutionary perspectives about this process.",2011,"Irene Söderhäll, Xionghui Lin"
A conserved developmental patterning network produces quantitatively different output in multiple species of Drosophila,22046143,10.1371/journal.pgen.1002346,"Differences in the level, timing, or location of gene expression can contribute to alternative phenotypes at the molecular and organismal level. Understanding the origins of expression differences is complicated by the fact that organismal morphology and gene regulatory networks could potentially vary even between closely related species. To assess the scope of such changes, we used high-resolution imaging methods to measure mRNA expression in blastoderm embryos of Drosophila yakuba and Drosophila pseudoobscura and assembled these data into cellular resolution atlases, where expression levels for 13 genes in the segmentation network are averaged into species-specific, cellular resolution morphological frameworks. We demonstrate that the blastoderm embryos of these species differ in their morphology in terms of size, shape, and number of nuclei. We present an approach to compare cellular gene expression patterns between species, while accounting for varying embryo morphology, and apply it to our data and an equivalent dataset for Drosophila melanogaster. Our analysis reveals that all individual genes differ quantitatively in their spatio-temporal expression patterns between these species, primarily in terms of their relative position and dynamics. Despite many small quantitative differences, cellular gene expression profiles for the whole set of genes examined are largely similar. This suggests that cell types at this stage of development are conserved, though they can differ in their relative position by up to 3-4 cell widths and in their relative proportion between species by as much as 5-fold. Quantitative differences in the dynamics and relative level of a subset of genes between corresponding cell types may reflect altered regulatory functions between species. Our results emphasize that transcriptional networks can diverge over short evolutionary timescales and that even small changes can lead to distinct output in terms of the placement and number of equivalent cells.",2011,"Charless C Fowlkes, Clara Henriquez, Zeba Wunderlich, David W Knowles, Michael B Eisen, Angela H DePace, Cris L Luengo Hendriks, Lisa Simirenko, Meghan D Bragdon, Miriah Meyer, Soile V E Keränen, Mark D Biggin, Kelly B Eckenrode"
G(o) activation is required for both appetitive and aversive memory acquisition in Drosophila,22190729,10.1101/lm.024802.111,"Heterotrimeric G(o) is an abundant brain protein required for negatively reinforced short-term associative olfactory memory in Drosophila. G(o) is the only known substrate of the S1 subunit of pertussis toxin (PTX) in fly, and acute expression of PTX within the mushroom body neurons (MB) induces a reversible deficit in associative olfactory memory. We demonstrate here that the induction of PTX within the α/β and γ lobe MB neurons leads to impaired memory acquisition without affecting memory stability. The induction of PTX within these MB neurons also leads to a significant defect in an optimized positively reinforced short-term memory paradigm; however, this PTX-induced learning deficit is noticeably less severe than found with the negatively reinforced paradigm. Both negatively and positively reinforced memory phenotypes are rescued by the constitutive expression of G(o)α transgenes bearing the Cys(351)Ile mutation. Since this mutation renders the G(o) molecule insensitive to PTX, the results isolate the effect of PTX on both forms of olfactory associative learning to the inhibition of the G(o) activation.",2011,"Xiao Yang, Gregg Roman, Shixing Zhang, Jacob Ferris, Adrian Madalan"
Characterization of a transgenic short hairpin RNA-induced murine model of Tafazzin deficiency,21091282,10.1089/hum.2010.199,"Barth's syndrome (BTHS) is an X-linked mitochondrial disease that is due to a mutation in the Tafazzin (TAZ) gene. Based on sequence homology, TAZ has been characterized as an acyltransferase involved in the metabolism of cardiolipin (CL), a unique phospholipid almost exclusively located in the mitochondrial inner membrane. Yeast, Drosophila, and zebrafish models have been invaluable in elucidating the role of TAZ in BTHS, but until recently a mammalian model to study the disease has been lacking. Based on in vitro evidence of RNA-mediated TAZ depletion, an inducible short hairpin RNA (shRNA)-mediated TAZ knockdown (TAZKD) mouse model has been developed (TaconicArtemis GmbH, Cologne, Germany), and herein we describe the assessment of this mouse line as a model of BTHS. Upon induction of the TAZ-specific shRNA in vivo, transgenic mouse TAZ mRNA levels were reduced by >89% in cardiac and skeletal muscle. TAZ deficiency led to the absence of tetralineoyl-CL and accumulation of monolyso-CL in cardiac muscle. Furthermore, mitochondrial morphology from cardiac and skeletal muscle was altered. Skeletal muscle mitochondria demonstrated disrupted cristae, and cardiac mitochondria were significantly enlarged and displace neighboring myofibrils. Physiological measurements demonstrated a reduction in isometric contractile strength of the soleus and a reduction in cardiac left ventricular ejection fraction of TAZKD mice compared with control animals. Therefore, the inducible TAZ-deficient model exhibits some of the molecular and clinical characteristics of BTHS patients and may ultimately help to improve our understanding of BTHS-related cardioskeletal myopathy as well as serve as an important tool in developing therapeutic strategies for BTHS.",2011,"Darin J Falk, Cathryn S Mah, Michael Schlame, Alfred S Lewin, Barry J Byrne, Matthew J Toth, Meghan S Soustek"
Cell cycle phase classification in 3D in vivo microscopy of Drosophila embryogenesis,22372955,10.1186/1471-2105-12-S13-S18,"Background: Cell divisions play critical roles in disease and development. The analysis of cell division phenotypes in high content image-based screening and time-lapse microscopy relies on automated nuclear segmentation and classification of cell cycle phases. Automated identification of the cell cycle phase helps biologists quantify the effect of genetic perturbations and drug treatments. Most existing studies have dealt with 2D images of cultured cells. Few, if any, studies have addressed the problem of cell cycle classification in 3D image stacks of intact tissues. Results: We developed a workflow for the automated cell cycle phase classification in 3D time-series image datasets of live Drosophila embryos expressing the chromatin marker histone-GFP. Upon image acquisition by laser scanning confocal microscopy and 3D nuclear segmentation, we extracted 3D intensity, shape and texture features from interphase nuclei and mitotic chromosomes. We trained different classifiers, including support vector machines (SVM) and neural networks, to distinguish between 5 cell cycles phases (Interphase and 4 mitotic phases) and achieved over 90% accuracy. As the different phases occur at different frequencies (58% of samples correspond to interphase), we devised a strategy to improve the identification of classes with low representation. To investigate which features are required for accurate classification, we performed feature reduction and selection. We were able to reduce the feature set from 42 to 9 without affecting classifier performance. We observed a dramatic decrease of classification performance when the training and testing samples were derived from two different developmental stages, the nuclear divisions of the syncytial blastoderm and the cell divisions during gastrulation. Combining samples from both developmental stages produced a more robust and accurate classifier. Conclusions: Our study demonstrates that automated cell cycle phase classification, besides 2D images of cultured cells, can also be applied to 3D images of live tissues. We could reduce the initial 3D feature set from 42 to 9 without compromising performance. Robust classifiers of intact animals need to be trained with samples from different developmental stages and cell types. Cell cycle classification in live animals can be used for automated phenotyping and to improve the performance of automated cell tracking.",2011,"Martin Wasser, Tie Hua Du, Wee Choo Puah"
